City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hithadhoo,MV,82.11,scattered clouds,-0.6,73.0833,Scoop Guest House
5,Saint-Joseph,RE,77.36,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
7,Meulaboh,ID,78.24,overcast clouds,4.1363,96.1285,Kost Pria
8,Coihaique,CL,70.41,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
10,Rikitea,PF,78.12,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
14,Butaritari,KI,76.57,very heavy rain,3.0707,172.7902,Isles Sunset Lodge
15,Sibolga,ID,76.21,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
20,Dingle,PH,73.33,clear sky,10.9995,122.6711,SEGAYA PROPERTY
21,Kalmunai,LK,77.68,overcast clouds,7.4167,81.8167,VS Villa
24,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
25,Hermanus,ZA,77.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Srandakan,ID,79.52,light rain,-7.9386,110.2506,Puri Brata
31,Manggar,ID,79.48,scattered clouds,-2.8833,108.2667,Guest Hotel
37,Chuy,UY,78.46,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
39,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
